"MEMBER_NO","POLY_NM","HG_NM"
2100000000305,"국민의힘","김학용"
2100000000310,"국민의힘","안철수"
2100000000301,"더불어민주당","김의겸"
2100000000308,"국민의힘","이인선"
2100000000314,"더불어민주당","김한규"
2100000000313,"국민의힘","장동혁"
2100000000318,"국민의힘","우신구"
2100000000319,"국민의힘","김은희"
2100000000320,"정의당","양경규"
2100000000322,"국민의힘","김근태"
2100000000315,"국민의힘","최영희"
2100000000045,"더불어민주당","김수흥"
2100000000112,"국민의힘","배현진"
2100000000202,"더불어민주당","이용빈"
2100000000204,"더불어민주당","이용우"
2100000000020,"더불어민주당","권인숙"
2100000000254,"국민의힘","조명희"
2100000000221,"더불어민주당","이해식"
2100000000163,"국민의힘","유상범"
2100000000293,"더불어민주당","홍성국"
2100000000134,"더불어민주당","송재호"
2100000000277,"더불어민주당","최혜영"
2100000000240,"국민의힘","정동만"
2100000000166,"더불어민주당","윤건영"
2100000000280,"무소속","하영제"
2100000000239,"국민의힘","정경희"
2100000000012,"더불어민주당","고영인"
2100000000005,"더불어민주당","강민정"
2100000000276,"국민의힘","최형두"
2100000000111,"정의당","배진교"
2100000000210,"더불어민주당","이장섭"
2100000000275,"국민의힘","최춘식"
2100000000015,"국민의힘","구자근"
2100000000197,"무소속","이수진"
2100000000074,"더불어민주당","김회재"
2100000000055,"더불어민주당","김용민"
2100000000071,"더불어민주당","김한정"
2100000000031,"더불어민주당","김민기"
2100000000101,"무소속","박완주"
2100000000192,"국민의힘","이상민"
2100000000180,"더불어민주당","윤호중"
2100000000213,"국민의힘","이종배"
2100000000242,"국민의힘","정운천"
2100000000216,"국민의힘","이채익"
2100000000030,"국민의힘","김미애"
2100000000127,"더불어민주당","소병훈"
2100000000294,"새로운미래","홍영표"
2100000000052,"더불어민주당","김영진"
2100000000035,"더불어민주당","김병욱"
2100000000024,"더불어민주당","김경협"
2100000000260,"국민의힘","조정훈"
2100000000009,"더불어민주당","강준현"
2100000000169,"무소속","윤미향"
2100000000271,"국민의힘","최승재"
2100000000006,"더불어민주당","강병원"
2100000000224,"더불어민주당","인재근"
2100000000191,"더불어민주당","이병훈"
2100000000068,"더불어민주당","김태년"
2100000000095,"국민의힘","박성민"
2100000000154,"새로운미래","오영환"
2100000000151,"더불어민주당","어기구"
2100000000225,"더불어민주당","임오경"
2100000000226,"국민의힘","임이자"
2100000000123,"국민의힘","서정숙"
2100000000140,"정의당","심상정"
2100000000165,"더불어민주당","유정주"
2100000000149,"개혁신당","양정숙"
2100000000122,"국민의힘","서일준"
2100000000037,"더불어민주당","김병주"
2100000000152,"국민의힘","엄태영"
2100000000284,"더불어민주당","한병도"
2100000000282,"국민의힘","한기호"
2100000000058,"더불어민주당","김원이"
2100000000178,"국민의힘","윤창현"
2100000000316,"진보당","강성희"
2100000000094,"더불어민주당","박상혁"
2100000000229,"더불어민주당","장경태"
2100000000198,"더불어민주당","이수진"
2100000000302,"국민의힘","최재형"
2100000000241,"더불어민주당","정성호"
2100000000248,"더불어민주당","정청래"
2100000000259,"더불어민주당","조정식"
2100000000158,"무소속","우원식"
2100000000142,"더불어민주당","안민석"
2100000000115,"더불어민주당","변재일"
2100000000078,"더불어민주당","노웅래"
2100000000051,"국민의힘","김영주"
2100000000025,"더불어민주당","김교흥"
2100000000008,"정의당","강은미"
2100000000270,"더불어민주당","최기상"
2100000000196,"더불어민주당","이소영"
2100000000251,"더불어민주당","정필모"
2100000000050,"국민의힘","김영식"
2100000000257,"더불어민주당","조오섭"
2100000000153,"더불어민주당","오기형"
2100000000143,"국민의힘","안병길"
2100000000173,"더불어민주당","윤영찬"
2100000000118,"국민의힘","서병수"
2100000000093,"더불어민주당","박병석"
2100000000018,"국민의힘","권영세"
2100000000124,"새로운미래","설훈"
2100000000102,"더불어민주당","박용진"
2100000000097,"국민의힘","박성중"
2100000000146,"국민의힘","양금희"
2100000000002,"국민의힘","강대식"
2100000000011,"더불어민주당","고민정"
2100000000056,"국민의힘","김용판"
2100000000223,"더불어민주당","이형석"
2100000000203,"더불어민주당","이용선"
2100000000265,"국민의힘","지성호"
2100000000274,"더불어민주당","최종윤"
2100000000048,"더불어민주당","김승원"
2100000000147,"더불어민주당","양기대"
2100000000064,"더불어민주당","김주영"
2100000000098,"국민의힘","박수영"
2100000000199,"국민의힘","이양수"
2100000000264,"국민의힘","주호영"
2100000000161,"더불어민주당","유기홍"
2100000000291,"국민의힘","홍문표"
2100000000175,"국민의힘","윤재옥"
2100000000157,"더불어민주당","우상호"
2100000000266,"더불어민주당","진선미"
2100000000069,"국민의힘","김태호"
2100000000285,"더불어민주당","한정애"
2100000000295,"더불어민주당","홍익표"
2100000000057,"국민의힘","김웅"
2100000000188,"더불어민주당","이동주"
2100000000252,"국민의힘","정희용"
2100000000283,"국민의힘","한무경"
2100000000232,"정의당","장혜영"
2100000000299,"조국혁신당","황운하"
2100000000168,"국민의힘","윤두현"
2100000000099,"새로운미래","박영순"
2100000000096,"더불어민주당","박성준"
2100000000195,"무소속","이성만"
2100000000003,"더불어민주당","강득구"
2100000000054,"국민의힘","김예지"
2100000000091,"국민의힘","박덕흠"
2100000000267,"더불어민주당","진성준"
2100000000017,"국민의힘","권성동"
2100000000046,"더불어민주당","김승남"
2100000000167,"무소속","윤관석"
2100000000092,"더불어민주당","박범계"
2100000000076,"국민의힘","김희국"
2100000000079,"더불어민주당","도종환"
2100000000289,"더불어민주당","허종식"
2100000000105,"더불어민주당","박주민"
